Title,Book,Edition,Page
Parnell's March,Duet,1,3
Glen Aln Hornpipe,Duet,1,4
Keelman over the Land,Duet,1,5
Old Lancashire Hornpipe,Duet,1,6
Bonny Woodside,Duet,1,7
Breamish (The),Duet,1,8
Go to Berwick Johnny,Duet,1,8
Gypsies' Lullaby,Duet,1,9
Sir Sidney Smith's March,Duet,1,10
Mrs Jamieson's Favourite,Duet,1,11
Cradle Song,Duet,1,12
Rowan Tree,Duet,1,12
Herd on the Hill,Duet,1,13
Mrs Mona Cameron,Duet,1,14
Wilson's Fish,Duet,1,14
Wedding Shoes,Duet,1,15
Heroes of Glencoe,Duet,1,16
Miss Thompson's Hornpipe,Duet,1,16
Heidenröslein,Duet,1,17
Rose among the Heather,Duet,1,17
Champion Hornpipe,Duet,1,18
Starry Night in Shetland,Duet,1,18
Wyndburgh Jig,Duet,1,19
Play Piper Play,Duet,1,20
Zadudej Dudácku Zadudej,Duet,1,20
Bonny at Morn,Duet,1,21
Polka,Duet,1,22
Coquetdale Waltz,Duet,1,23
Mill Mill O (The),Duet,1,24
Swindon,Duet,1,24
Blowzabella,Duet,1,25
South Shields Lasses,Duet,1,26
Piper in the Well,Duet,1,27
Old Drove Road,Duet,1,28
Piper's Wedding (The),Duet,1,28
Czech Bagpipe Trio,Duet,1,29
Little Farm Well Tilled (A),Duet,1,30
Londonderry Air,Duet,1,30
City of Savannah,Duet,1,31
Sweet Hesleyside,Duet,1,32
Golden Wedding,Duet,1,33
Sting in the Tail,Duet,1,34
Trip to Solingen (The),Duet,1,35
Last of the Twins,Folio 2005,1,1
Little Burnt Potato Burnt Tattie (The),Folio 2005,1,1
Bielbie's Hornpipe,Folio 2005,1,2
Wade Hampton's Hornpipe,Folio 2005,1,2
Hepple Haugh King's Hall,Folio 2005,1,3
Keening in the Wind Back to the Hills,Folio 2005,1,3
King's Hall Hepple Haugh,Folio 2005,1,3
Sandgate,Folio 2005,1,4
St Cuthbert's Day,Folio 2005,1,4
Anniversary Jig,Folio 2005,1,5
Mrs Jean Taylor,Folio 2005,1,5
Tom Hackett's Dream,Folio 2005,1,5
Cheviot Rant,Folio 2005,1,6
Jock Wilson of Fenton,Folio 2005,1,6
Harvest Home,Folio 2005,1,7
Miss Jenny Clough,Folio 2005,1,7
Rose Tree (The),Folio 2005,1,7
Duke of Fife's Welcome to Deeside,Folio 2005,1,8
Herr Roloff's Farewell,Folio 2005,1,8
Miss Forbe's Farewell to Banff,Folio 2005,1,8
President Garfield's Hornpipe,Folio 2005,1,9
Washington Hornpipe,Folio 2005,1,9
Gordon's Favourite,Folio 2005,1,10
If you will not have me you may let me go,Folio 2005,1,10
Lasses Pass the Brandy,Folio 2005,1,10
John the Red Nose,Folio 2005,1,11
Morpeth Lasses,Folio 2005,1,11
XYZ,Folio 2005,1,11
Charlie's Garden,Folio 2005,1,12
Colburn Lane,Folio 2005,1,12
Hindley Steel,Folio 2005,1,13
Tom Dagg's Tune,Folio 2005,1,13
Gentle Maiden,Folio 2005,1,14
Rose Wood,Folio 2005,1,14
Roslyn Castle,Folio 2005,1,14
Bracken Rigg,Folio 2005,1,15
Off to California,Folio 2005,1,15
Steamboat (The),Folio 2005,1,15
In Dispraise o' Dunbar,Folio 2005,1,16
Jimmy Allen,Folio 2005,1,16
Bagpiper's Carol (The),Folio 2005,1,17
Oyster Wife's Rant,Folio 2005,1,17
Lovat Scouts,Folio 2005,1,18
Celebrated Trumpet Tune (The),Folio 2005,1,19
Wild Rose of the Mountain,Folio 2005,1,20
Blind Mary,Folio 2007,1,1
Cairdin' O't (The),Folio 2007,1,1
Chester Castle,Folio 2007,1,1
Babes in the Wood,Folio 2007,1,2
Carolan's Conceerto,Folio 2007,1,2
Coilsfield House,Folio 2007,1,3
Colgrave Sound,Folio 2007,1,3
Orange and Blue,Folio 2007,1,3
Caller Herrin,Folio 2007,1,4
Cronin's Hornpipe,Folio 2007,1,4
Delight of the men of Caernarvon,Folio 2007,1,5
Donald Blue,Folio 2007,1,5
Down the burn Davie Lad,Folio 2007,1,5
Flett from Flotta,Folio 2007,1,6
Garster's Dream,Folio 2007,1,6
O'er the Hills and Far Away,Folio 2007,1,6
Dunphy's Hornpipe,Folio 2007,1,7
Father Kelly's Jig,Folio 2007,1,7
Chester,Folio 2007,1,8
Farewell to Whisky,Folio 2007,1,8
Gairsay,Folio 2007,1,8
Castell Caernrfon,Folio 2007,1,9
Left Handed Fiddler,Folio 2007,1,9
Little Stack of Barley (The),Folio 2007,1,9
King o' The Pipers,Folio 2007,1,10
Lemonville Jig,Folio 2007,1,10
Llwyn on,Folio 2007,1,11
Logie of Buchan,Folio 2007,1,11
Malldraeth The Soft Sea-Shore,Folio 2007,1,11
Flowers of Edinburgh (The),Folio 2007,1,12
General Monck's March,Folio 2007,1,12
Mad Moll of the Cheshire Hunt,Folio 2007,1,12
Mrs John Elder's Welcome,Folio 2007,1,13
Piper's Weird,Folio 2007,1,13
Mount Your Baggage,Folio 2007,1,14
Ned of the Hill Eamonn an Chnoic,Folio 2007,1,14
Wild Goose Chase (The),Folio 2007,1,14
Skye Crofters,Folio 2007,1,15
Song of Home (The),Folio 2007,1,15
Gilsland Hornpipe with Variations,Folio 2007,1,16
St Lawrence Jig,Folio 2007,1,16
Whiddon's Hornpipe,Folio 2007,1,17
Scots Hornpipe (A),Folio 2007,1,18
Speed the Plough,Folio 2007,1,18
Suo-Gan,Folio 2007,1,18
Ae Fond Kiss,Folio 2007,1,19
Mary Scott the Flower of Yarrow,Folio 2007,1,19
Hector the Hero,Folio 2007,1,20
Shepherd's Hornpipe (The),Folio 2007,1,20
Tom Mullen's Welsh Tune,Folio 2007,1,20
Carolan's Draught,Folio 2007,1,21
Headlands (The),Folio 2009,1,1
Inisheer,Folio 2009,1,1
Hollybank Hornpipe (The),Folio 2009,1,2
Piper in the Meadow Straying,Folio 2009,1,2
Slockit Light (Da),Folio 2009,1,3
Tushkar (Da),Folio 2009,1,3
Favourite (The),Folio 2009,1,4
Kirk's Hornpipe,Folio 2009,1,4
Teribus Ye Terioden,Folio 2009,1,5
William Turner's Jig,Folio 2009,1,5
Far frae Home,Folio 2009,1,6
Man from Newry (The),Folio 2009,1,6
Castle (The),Folio 2009,1,7
Walsh's Hornpipe,Folio 2009,1,7
Glencoe march (The),Folio 2009,1,8
Sandie over the Sea,Folio 2009,1,8
Aly's Waltz,Folio 2009,1,9
John Roy Lyall,Folio 2009,1,9
Breakdown,Folio 2009,1,10
Eagle's Whistle,Folio 2009,1,10
Miss McLeod of Raasay,Folio 2009,1,10
Äppelbolåten,Folio 2009,1,11
Cliffs of Old Tynemouth,Folio 2009,1,11
Gånglåt från Äpplebo,Folio 2009,1,11
Meeting of the Waters (The),Folio 2009,1,11
Si Bheag Si Mhor,Folio 2009,1,11
Cambo March,Folio 2009,1,12
Iron Man (The),Folio 2009,1,13
Sweerie Box (Da),Folio 2009,1,13
Gypsy's Hornpipe,Folio 2009,1,14
King of the Fairies,Folio 2009,1,14
Earl of Crawford,Folio 2009,1,15
Kielder Burnie,Folio 2009,1,15
Have you seen owt of my Bonny Lad,Folio 2009,1,16
Storrer's Hornpipe,Folio 2009,1,16
Tom's march,Folio 2009,1,16
Bride's Favourite,Folio 2009,1,17
Independent Hornpipe (The),Folio 2009,1,17
Fairies Hornpipe,Folio 2009,1,18
Kirkgate (The),Folio 2009,1,18
Dark Island (The),Folio 2009,1,19
Major Mackie's Jig (in D),Folio 2009,1,19
Major Mackie's Jig (in G),Folio 2009,1,19
Banish Misfortune,Folio 2011,1,1
Moon and Seven Stars (The),Folio 2011,1,1
Music o' Spey (The),Folio 2011,1,1
Anton's Muňeira,Folio 2011,1,2
Lady's Plaything (The),Folio 2011,1,2
Hunter Hill,Folio 2011,1,3
Uncle Jarm,Folio 2011,1,3
Nora Criona,Folio 2011,1,4
Old Rosin the Beau,Folio 2011,1,4
Calum's Road,Folio 2011,1,5
Memories of Fthr Angus McDonnell,Folio 2011,1,5
She Griped at ye Greatest On't,Folio 2011,1,6
leaving Lerwick Harbour,Folio 2011,1,7
Pant Corlan Yr Wyn,Folio 2011,1,7
Waters of Kylescu (The),Folio 2011,1,7
Branwen Pant y Pistill,Folio 2011,1,8
Cave Hill,Folio 2011,1,8
Dorset Four Hand Reel,Folio 2011,1,8
Shan Buie,Folio 2011,1,9
St. Patrick's Day,Folio 2011,1,9
Sir Sidney Smith's March,Folio 2011,1,10
Michael Turner's Waltz,Folio 2011,1,11
Willow Tree (The),Folio 2011,1,11
Carriteth,Folio 2011,1,12
Lullaby,Folio 2011,1,12
Reflections,Folio 2011,1,12
Girl with the Blue Dress On,Folio 2011,1,13
Melody,Folio 2011,1,13
Old Tom's Rant,Folio 2011,1,13
Captain Lanoe's Quick March,Folio 2011,1,14
Clow Bank,Folio 2011,1,14
Worcestershire Hornpipe,Folio 2011,1,14
Galopede,Folio 2011,1,15
John of Paris,Folio 2011,1,15
Maggie in the Woods,Folio 2011,1,16
Open the Door to Three,Folio 2011,1,16
Rakes of Mallow,Folio 2011,1,16
Mazurka de Servant,Folio 2011,1,17
Morpeth Pipe Band's Salute to the Chantry,Folio 2011,1,17
James Plunkett (Young William Plunkett),Folio 2011,1,18
Linnen Hall,Folio 2011,1,18
Mheilla,Folio 2011,1,18
Goodnight and Joy be With You,Folio 2011,1,19
St Patrcick's An Dro,Folio 2011,1,19
Young Catherine,Folio 2011,1,19
Johnny Cock up your Beaver,Folio 2011,1,20
Peaches and Cream,Folio 2011,1,21
Miss Rowan Davies,Folio 2011,1,22
Portsmouth,Folio 2011,1,22
Yellow Walls Hornpipe (The),Folio 2011,1,22
Favourite Hornpipe (A),Folio 2011,1,23
Jocky to the Fair,Folio 2011,1,23
Newcastle Lasses,Green Book,1,1
"Wedding of Blyth, The",Green Book,1,1
Willow Tree Hornpipe,Green Book,1,1
Jack Frost,Green Book,1,2
Shiver My Ragges,Green Book,1,2
Volker Heidemann Of Koln,Green Book,1,3
Cuddle The Butler,Green Book,1,4
"Road To Wooler, The",Green Book,1,4
Sunny Banks Of Wooler,Green Book,1,4
Berwick Billy,Green Book,1,5
Peacock's Hornpipe,Green Book,1,5
Around The World For Sport,Green Book,1,6
Fjallnass Polska,Green Book,1,6
Rob Shear'd In Her'st,Green Book,1,6
Catherine O'Dea,Green Book,1,7
Dr Robb Of Ellingham,Green Book,1,7
Scrambling Jamie,Green Book,1,7
Blue Jacket Hornpipe,Green Book,1,8
Stephenson's Fancy Hornpipe,Green Book,1,8
"Independent Lady's Hornpipe, The",Green Book,1,9
Lasses Likes Punch,Green Book,1,9
Bardon Mill,Green Book,1,10
Hexham Chase,Green Book,1,10
Collywell Bay,Green Book,1,11
"Dinnington Rant, The",Green Book,1,11
New York Hornpipe,Green Book,1,12
Swalwell Hoppings,Green Book,1,12
Bedlington Hoppings,Green Book,1,13
Fatfield Hopping,Green Book,1,13
"Washington Hornpipe, The",Green Book,1,13
Planxty Irwin,Green Book,1,14
Tobin's Favourite,Green Book,1,14
Tripping Upstairs,Green Book,1,14
Fisherman's Lilt,Green Book,1,15
Humours Of Bandon,Green Book,1,15
Hindley Steel,Green Book,1,16
Woodbum Lasses,Green Book,1,16
"Redesdale Rant, The",Green Book,1,17
Tie The Kye In,Green Book,1,17
Gold Dust Hornpipe,Green Book,1,18
"Policeman, The",Green Book,1,18
Ryhopc Colliery Hornpipe,Green Book,1,18
Sunderland Barracks,Green Book,1,18
"Ranting Lads Of Sunderland, The",Green Book,1,19
"Sunderland Hornpipe, The",Green Book,1,19
Durham Rangers,Green Book,1,20
Newcastle Volunteers' March,Green Book,1,20
"Navvie On The Line, The",Green Book,1,21
Spence's Tent,Green Book,1,21
Bywell Bridge,Green Book,1,22
Riding Mill Jig,Green Book,1,22
"Stage Hornpipe, The",Green Book,1,22
Borthwick Riddell's Hornpipe,Green Book,1,23
First Steam Trip To Bellingham,Green Book,1,23
Hexham West Boat,Green Book,1,23
"East Neuk Of Fife, The",Green Book,1,24
Bonny Banchory,Green Book,1,25
Mrs Wilson's Fancy Hornpipe,Green Book,1,26
"Stack Of Wheat, The",Green Book,1,26
"Green Cockade, The",Green Book,1,27
"Greencastle Hornpipe, The",Green Book,1,27
Foster's Fancy,Green Book,1,28
Miss Platoff,Green Book,1,28
Calliope House,Green Book,1,29
Young Scottie,Green Book,1,29
Brown Rigg,Green Book,1,30
Linshield Brig,Green Book,1,30
"Star, The",Green Book,1,30
Appleby Fair,Green Book,1,31
Redford Cottage,Green Book,1,31
Anty's Fancy,Green Book,1,32
Bob Thompson's Reel,Green Book,1,32
Catterthun,Green Book,1,32
Chipchase Castle,Green Book,1,32
"Chipchase Reel, The",Green Book,1,32
Black Prince,Green Book,1,33
Niel Gow's Lament For The Death Of His Second Wife,Green Book,1,33
Acrobat's Hornpipe,Green Book,1,34
Barley Mow,Green Book,1,34
"Thistle, The",Green Book,1,34
Lindisfarne,Green Book,1,35
"Black Tankard, The",Green Book,1,36
"Bonny Pit Laddie, The",Green Book,1,36
"Muckin' O' Geordie's Byre, The",Green Book,1,36
"English Bring To Gratney Green The Lasses That Hae Siller, The",Green Book,1,37
Captain Nonnan Orr-Ewing,Green Book,1,38
Loch Ruan,Green Book,1,38
Old Towler,Green Book,1,39
"Stay A Wee Bit, Bonnie Lad",Green Book,1,39
"Mile To Ride, A",Green Book,1,40
"Moving Cloud, The",Green Book,1,41
"Jig, A",Green Book,1,42
Otterburn Tower,Green Book,1,42
Stagshaw Bank Fair,Green Book,1,42
Mock The Soldier's Lady,Green Book,1,43
Sweet As Sugar Candy,Green Book,1,44
"Coquetdale Rant, A",Green Book,1,45
"New Way to Rothbury, The",Green Book,1,45
Rothbury Races,Green Book,1,45
Barber's Pole (The),James Hill,1,1
Beeswing,James Hill,1,1
Cage (The),James Hill,1,1
Bottle Bank,James Hill,1,2
California Hornpipe (The),James Hill,1,2
Champion Hornpipe (The),James Hill,1,2
Charles Attwood,James Hill,1,3
Country Lass (The),James Hill,1,3
Great Exhibition (The),James Hill,1,3
Fiddler's Fancy (The),James Hill,1,4
Flying Dutchman (The),James Hill,1,4
Free Trade (The),James Hill,1,4
Enterprise Hornpipe (The),James Hill,1,5
Hawk (The),James Hill,1,5
Hawk's Polka,James Hill,1,6
High Level Bridge Hornpipe,James Hill,1,6
Fisher Lads (The) Jenny Lind,James Hill,1,7
Hunter (The),James Hill,1,7
James Brown,James Hill,1,7
Jenny Lind The Fisher Lads,James Hill,1,7
Lads Like Beer (The),James Hill,1,8
Marquis of Waterford (The),James Hill,1,8
Miss Hunter's Hornpipe,James Hill,1,9
New year's Gift (The),James Hill,1,9
Pear Tree (The),James Hill,1,9
Newcastle Hornpipe (Prince Albert's Hornpipe),James Hill,1,10
Omnibus (The),James Hill,1,10
Proudlock's Fancy,James Hill,1,10
James Hill's Reel,James Hill,1,11
Quayside (The),James Hill,1,11
Spence's Tent,James Hill,1,11
Spotted Bitch (The),James Hill,1,12
Stoney Steps Hornpipe (The),James Hill,1,12
Tweedly Park,James Hill,1,12
Hornpipe Nº 8 (A),James Hill,1,13
Tykeside,James Hill,1,13
When the Tide comes In,James Hill,1,13
Hornpipe Nº 9 (A),James Hill,1,14
Blaydon Flats,James Hill,1,15
Cliff (The) The Ruby,James Hill,1,15
Gateshead Hornpipe (The),James Hill,1,15
Earl Grey,James Hill,1,16
Gardener lads (The),James Hill,1,16
Ferry Bridge Hornpipe (The),James Hill,1,17
Gleghorn's Fancy,James Hill,1,17
Circassian Circle (The) Hill's Fancy,James Hill,1,18
Hill's Fancy,James Hill,1,18
Little Jim's Hornpipe,James Hill,1,18
Locomotive (The),James Hill,1,18
Navvie on the Line (The),James Hill,1,19
Rights of Man (The),James Hill,1,19
Shields Fair,James Hill,1,19
Scholar (The) The South Shore,James Hill,1,20
South Shore (The),James Hill,1,20
Steamboat (The),James Hill,1,20
Underhand (The),James Hill,1,21
Wonder (The),James Hill,1,21
XYZ,James Hill,1,21
Fogabella The Mug of Brown Ale,James Hill,1,22
Miss Aubone Surtees Favourite,James Hill,1,22
Mug of Brown Ale (The) Flogabella,James Hill,1,22
Old Church Hornpipe (The),James Hill,1,22
Anybody's Hornpipe,James Hill,1,23
Black Wall Hornpipe (The),James Hill,1,23
Careless Lass (The),James Hill,1,23
Chamber's Hornpipe,James Hill,1,24
Clasper's Hornpipe,James Hill,1,24
Comet (The),James Hill,1,24
Champion Hornpipe (The),James Hill,1,25
Durham Regatta,James Hill,1,25
Favourite (The),James Hill,1,25
Durham (The),James Hill,1,26
Firefly (The),James Hill,1,26
Flying Dutchman (The),James Hill,1,26
Free Trade (The),James Hill,1,27
Gaslight Hornpipe (The),James Hill,1,27
George Hunter's Shop,James Hill,1,27
Hornpipe (A),James Hill,1,28
Kemp's Hornpipe,James Hill,1,28
Marsden Rock,James Hill,1,28
Merry Lads of Gateshead (The),James Hill,1,29
Monckey (The),James Hill,1,29
Mrs Gibb's Hornpipe,James Hill,1,29
Pride of the North (The),James Hill,1,30
Railway Bridge (The),James Hill,1,30
Ranting Lads of Sunderland (The),James Hill,1,30
Rink (The),James Hill,1,31
Rocket (The) The Stage,James Hill,1,31
Stage (The),James Hill,1,31
Thomas Hair's Hornpipe,James Hill,1,31
Hornpipe 1 (A),James Hill,1,32
Smith's Hornpipe,James Hill,1,32
Hornpipe (A) Raughton Head,James Hill,1,33
Hornpipe 2 (A),James Hill,1,33
Hornpipe 4 (A),James Hill,1,33
Raughton Head,James Hill,1,33
Hornpipe 5 (A),James Hill,1,34
West End (The),James Hill,1,34
Whit Monday,James Hill,1,34
Chevy Chase,Minstrelsy,1,1
Coquetside,Minstrelsy,1,1
Wylam Away,Minstrelsy,1,1
Cockle Geordie,Minstrelsy,1,2
Felton Lonnin',Minstrelsy,1,2
I Saw my Love come Passing by Me,Minstrelsy,1,2
Broken-Legged Chicken (The),Minstrelsy,1,3
Jockey lay up in the Hay Loft,Minstrelsy,1,3
Stay a Wee Bit Bonny Lad,Minstrelsy,1,3
Bonny Pit Laddie,Minstrelsy,1,4
Dorrington Lads,Minstrelsy,1,4
Peacock Followed the Hen,Minstrelsy,1,4
Because he was a Bonny Lad,Minstrelsy,1,5
Blackett O' Wylam,Minstrelsy,1,5
Meggy's Foot,Minstrelsy,1,5
Fair Maid of Wickham (The),Minstrelsy,1,6
My Bonnie Bay Mare and I,Minstrelsy,1,6
My Dearie sits up ower Late,Minstrelsy,1,6
Newburn Lads,Minstrelsy,1,6
Cut and Dry Dolly,Minstrelsy,1,7
I'll have her in spite of her Minnie,Minstrelsy,1,7
Sir John Fenwick's Flower Among,Minstrelsy,1,7
Cuddie Clauder,Minstrelsy,1,8
Lads of Alnwick (The),Minstrelsy,1,8
All Hands Upon Deck,Minstrelsy,1,9
All the Night I lay awake,Minstrelsy,1,9
Go to Berwick Johnnie,Minstrelsy,1,9
Keelman Ower Land (The),Minstrelsy,1,10
Noble Squire Dacre,Minstrelsy,1,10
Jockey Stays Long at the Fair,Minstrelsy,1,11
Parks o' Yester,Minstrelsy,1,11
Blue's gone out of Fashion,Minstrelsy,1,12
Small Coals an' Little Money,Minstrelsy,1,12
Stagshaw Bank Fair,Minstrelsy,1,12
Wedding o' Blyth (The),Minstrelsy,1,12
Wedding o' Blyth (The),Minstrelsy,1,12
Black Cock o' Whickham,Minstrelsy,1,13
Holey Halfpenny (The),Minstrelsy,1,13
Miller's Wife o' Blaydon (The),Minstrelsy,1,13
Coffee and Tea Jamie Allen's Fancy,Minstrelsy,1,14
Drunken Moll Knox,Minstrelsy,1,14
Jamie Allen's Fancy Coffee and Tea,Minstrelsy,1,14
Lass and the Money is all My Own,Minstrelsy,1,14
Cannie Hobbie Elliot,Minstrelsy,1,15
Pipers' Maggot or Fancy,Minstrelsy,1,15
Shew's the way to Wallington,Minstrelsy,1,15
Green Brechans o' Branton (The),Minstrelsy,1,16
Peacock's Fancy,Minstrelsy,1,16
We'll all away to Sunnyside,Minstrelsy,1,16
Jacky Layton,Minstrelsy,1,17
Peacock's March,Minstrelsy,1,17
Lamshaw's Fancy,Minstrelsy,1,18
Morpeth Lasses,Minstrelsy,1,18
Peacock's Tune,Minstrelsy,1,18
Andrew Carr,Minstrelsy,1,19
Follow Her over the Border,Minstrelsy,1,19
Major (The),Minstrelsy,1,19
Cooper o' Stannerton Heugh (The),Minstrelsy,1,20
Leazes Hopping,Minstrelsy,1,20
Sunderland Lasses,Minstrelsy,1,20
Bobby Shaftoe,Minstrelsy,1,21
Lang Stay's Away,Minstrelsy,1,21
Mile to Ride (A),Minstrelsy,1,21
Blaw the Wind Southerly,Minstrelsy,1,22
Cuckold come out o' the Amrey,Minstrelsy,1,22
Fenwick o' Bywell,Minstrelsy,1,22
Hoop Her and Gird Her,Minstrelsy,1,23
Ower the Border,Minstrelsy,1,23
Little Wot Ye Wha's Coming,Minstrelsy,1,24
Till the Tide Comes In,Minstrelsy,1,24
Black and the Grey (The),Minstrelsy,1,25
Little Fishie,Minstrelsy,1,25
Mitford Galloway,Minstrelsy,1,26
Rantin Roarin' Willie,Minstrelsy,1,26
Sandhill Corner,Minstrelsy,1,26
Blanchland Races,Minstrelsy,1,27
Fairly Shot of Her,Minstrelsy,1,27
Hen's March (The),Minstrelsy,1,28
Keel Row,Minstrelsy,1,28
Christmas Day in the Morning,Minstrelsy,1,29
New Highland Laddie,Minstrelsy,1,29
Buy Brooms Buzzems,Minstrelsy,1,30
Durham Old Women,Minstrelsy,1,30
Chevey Chase,NPS Book 1,1,1
Lea Rigg,NPS Book 1,1,1
Mallorca,NPS Book 1,1,1
Athole Highlanders,NPS Book 1,1,2
Marquis of Lorne,NPS Book 1,1,2
Drunken Drummer,NPS Book 1,1,3
General Toast (The),NPS Book 1,1,3
Paddy Whack,NPS Book 1,1,3
Jenny Bell (Polka),NPS Book 1,1,4
Peacock's March,NPS Book 1,1,4
Durham Rangers,NPS Book 1,1,5
Peacock's Fancy,NPS Book 1,1,5
Happy Farmer,NPS Book 1,1,6
I saw my Love come passing by Me,NPS Book 1,1,6
Herd on the Hill,NPS Book 1,1,8
Jimmy Allen,NPS Book 1,1,8
Mason's Apron,NPS Book 1,1,8
I'll gang nae mair to yon Toon,NPS Book 1,1,9
Morning Brush,NPS Book 1,1,9
Because he was a Bonny Lad,NPS Book 1,1,10
Holey Ha'penny,NPS Book 1,1,10
Canny Newcastle,NPS Book 1,1,11
Noble Squire Dacre,NPS Book 1,1,11
Fenwick o' Bywell,NPS Book 1,1,12
Sir John Fenwick's the Flower,NPS Book 1,1,13
Crooked Bawbee,NPS Book 1,1,14
Lamb Skinnet,NPS Book 1,1,14
Proudlock's Hornpipe,NPS Book 1,1,15
Bill Charlton's Fancy,NPS Book 1,1,16
Hexham Races,NPS Book 1,1,17
Saddle the Pony,NPS Book 1,1,17
Lass of Falstone,NPS Book 1,1,18
Random,NPS Book 1,1,18
Bonny Tyneside,NPS Book 1,1,19
My Dearie sits ower late up,NPS Book 1,1,19
Sir Sidney Smith's March,NPS Book 1,1,20
Elspie Marley,NPS Book 1,1,21
Oh I hae seen the Roses Blaw,NPS Book 1,1,21
Small Coals and Little Money,NPS Book 1,1,21
Oh Dear! What can the Matter Be,NPS Book 1,1,22
Blow the Wind Southerly,NPS Book 1,1,23
Hesleyside Reel,NPS Book 1,1,24
Lads of Alnwick,NPS Book 1,1,24
Cliff Hornpipe (The),NPS Book 1,1,25
Cuckold come out of the Amrey,NPS Book 1,1,25
Elk's Festival,NPS Book 1,1,25
Buttered Peas,NPS Book 1,1,26
Fay's Hornpipe,NPS Book 1,1,26
Holme's Fancy,NPS Book 1,1,26
Blanchland Races,NPS Book 1,1,27
Money Musk,NPS Book 1,1,27
Jacky Layton (with var),NPS Book 1,1,28
Nancy,NPS Book 1,1,30
Biddy the Bowl Wife,NPS Book 1,1,31
Fare Well,NPS Book 1,1,31
